matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
1359,17077,446500,0.57486,1.08123,27.9713,25.1159,29.3543,17.9124
899,17281,257727,0.407685,0.644554,1.2664,0.73415,0.553466,0.5563
1435,17361,519260,0.657388,1.20845,6.02636,13.9099,6.66368,3.9008
1203,17361,178896,0.293534,0.518736,2.32092,5.4053,4.18334,0.9725
1202,17361,519260,0.654276,1.04644,5.97997,13.9459,6.65354,3.9017
1426,17500,69981,0.109284,0.516326,0.0887232,0.0648928,0.073424,0.0353
868,17546,69742,0.12305,0.229935,1.02188,4.48633,3.13477,0.8915
747,17576,379864,0.431571,0.679429,0.214787,0.193846,0.169872,0.067
746,17576,379864,0.436776,0.783977,0.168691,0.197338,0.169158,0.0658
553,17730,118281,0.182801,0.319067,0.545293,0.583146,0.493059,0.1455
552,17730,118281,0.179962,0.301815,0.556774,0.594298,0.480358,0.1455
543,17758,71954,0.129114,0.227965,0.837203,1.14063,0.667846,0.2164
1851,17880,224310,0.288654,0.606892,1.77498,2.88736,2.45955,0.6605
937,18000,3457658,7.80146,8.03071,26.2515,19.2914,11.635,12.9091
583,18289,70427,0.12062,0.232303,1.41837,1.92325,2.45791,0.4333
582,18289,70427,0.123962,0.213585,1.40702,1.99796,2.63055,0.4334
1567,18354,92217,0.15027,0.816548,0.0273312,0.052608,0.0495616,0.018
901,18510,59256,0.214873,0.361543,0.180054,0.115635,0.114586,0.0431
970,18588,202591,0.339179,0.541378,1.32139,1.9487,0.93481,0.3807
869,18589,73935,0.123809,0.223558,0.99016,3.68252,3.10006,0.923
2243,18696,4375247,6.89296,6.96154,0.838397,0.357981,0.451174,0.3386
870,19366,77057,0.128524,0.339054,0.897088,3.98253,2.93448,0.8792
431,19716,123962,0.178344,0.372732,2.36717,3.19974,3.78337,0.7637
817,19779,674195,0.861822,1.21625,1.77514,1.95128,1.24938,0.8097
1363,19896,379247,0.465889,0.917566,28.6891,27.5056,30.307,19.7939
1439,19994,49980,0.0911742,0.183051,5.69322,26.2773,26.3615,4.2989
1437,19998,59990,0.0975866,0.204824,11.1053,35.0279,36.6701,8.6937
1427,20000,35000,0.0746531,0.163358,0.0119584,0.0294496,0.03224,0.0176
1429,20082,150616,0.304792,0.640227,1.64859,2.3342,2.078,0.5253
1428,20082,150616,0.300775,0.659107,1.50796,2.3712,2.05547,0.5264
1443,20209,79721,0.150502,0.61252,0.0292064,0.0343456,0.05816,0.0266
1451,20360,265113,0.347197,0.545454,2.27325,3.49535,1.70814,0.6773
1211,20360,20360,0.0606814,0.23593,0.0083968,0.0284448,0.030816,0.0165
1210,20360,265113,0.351154,0.615404,2.20441,3.45507,1.70291,0.6771
2234,20374,791563,0.884719,1.28556,0.710208,1.03512,1.33395,0.3732
925,20414,850599,1.21621,1.65653,1.10954,1.57109,1.49872,0.3458
455,20545,93769,0.152807,0.322237,0.0411456,0.0346432,0.042288,0.0209
573,20614,98245,0.147968,0.244823,3.33297,5.73421,3.43399,1.5375
572,20614,98245,0.14641,0.259418,3.32719,5.44906,3.4476,1.5381
1376,20640,61701,0.159082,0.28976,0.239325,0.182294,0.174998,0.0875
2347,20738,50096,0.127232,0.36472,0.102176,0.0576576,0.068,0.0442
1862,20896,109361,0.235819,0.398629,0.0680928,0.042784,0.0720896,0.0333
2349,20944,50482,0.135658,0.329969,0.106461,0.0533344,0.0679968,0.0419
2356,21128,53082,0.136869,0.262488,0.148634,0.0775488,0.0890912,0.0578
1568,21132,89087,0.161333,0.262639,0.0474048,0.0674592,0.0617536,0.0201
816,21200,754984,0.958526,1.29174,4.0978,4.09847,1.85211,2.6732
1336,21982,30330,0.0870764,0.279189,0.0340384,0.0841696,0.0370592,0.0177
1335,21982,274689,0.393898,0.720742,1.72729,2.19783,1.56119,0.7097
1334,21982,30330,0.0818769,0.253172,0.0349344,0.0824736,0.036864,0.0187
1333,21982,255426,0.373071,0.931984,1.67317,2.48643,1.73425,0.695
2280,22283,12345963,23.4541,23.6299,128.607,104.344,214.129,12.5358
1569,22401,108013,0.187588,0.539357,0.034288,0.06656,0.0614432,0.04
447,22560,484986,0.627893,1.18818,5.08756,15.0592,6.11932,3.3255
732,22695,686502,0.845078,1.09941,4.99553,7.13204,4.07634,1.9916
1342,22835,28616,0.0878926,0.170378,0.0318656,0.0381632,0.037472,0.0191
1341,22835,294391,0.428886,0.943685,3.37547,8.94338,7.93385,1.8018
1340,22835,28674,0.0895625,0.225816,0.0304352,0.180314,0.038192,0.0187
1339,22835,325598,0.469234,0.720063,3.66431,9.64479,9.10191,1.8717
1338,22835,28629,0.0893963,0.151296,0.0313152,0.0416736,0.0393216,0.0189
1337,22835,307168,0.468194,0.620857,3.4264,7.8601,6.71857,1.8214
1249,22967,60167,0.102758,0.279306,0.0207648,0.0323392,0.0377792,0.022
362,23052,588933,0.762887,1.08453,0.883619,0.354528,0.21176,0.2761
346,23052,177269,0.250776,0.392423,3.34738,5.58007,5.69119,2.4132
341,23052,583096,0.76577,1.03783,7.85475,12.5041,7.97798,6.2502
1570,23196,113123,0.177128,0.329915,0.035312,0.0711168,0.0658464,0.0236
2269,23412,120948,0.183627,0.332592,2.69724,5.97868,6.78901,1.5114
291,23560,253908,0.302848,0.446175,0.74376,1.3032,2.11128,0.2991
555,23670,165401,0.243115,0.397202,0.710362,0.81503,0.636205,0.1879
554,23670,165401,0.245363,0.402624,0.65695,0.838509,0.634362,0.1878
